text,label,source
"in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water .",Neutral,FinancialPhraseBank
"look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .",Neutral,FinancialPhraseBank
"thanks to my nokia and lulu , i am now proud to be a published his novel can be found here .",Neutral,FinancialPhraseBank
nordstjernan has used its option to buy another 22.4 stake of salcomp 's shares and votes .,Neutral,FinancialPhraseBank
25 november 2010 - finnish paints and coatings company tikkurila oyj hel tik1v said today that finnish state-owned investment company solidium oy sold its 14.7 stake in the company for a total of eur98m .,Neutral,FinancialPhraseBank
stora enso owns 43 percent of bergvik and earns therefore sek 1.5 bn on the value appreciation .,Optimism,FinancialPhraseBank
"- inge larsen cfo, 29,045 shares , representing 0.50 of the share capital .",Neutral,FinancialPhraseBank
"the refining margin for the year was 13.39 - bbl , compared to 10.46 - bbl in the prior year .",Optimism,FinancialPhraseBank
"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 and capacity , measured in available seat kilometres ask , rose by 12.2 .",Optimism,FinancialPhraseBank
finnish business software group affectogenimap oyj said its net profit halved to 1.2 mln euro 1.5 mln in the first nine months of 2006 from 2.2 mln euro 2.8 mln in the same period of 2005 .,Sadness,FinancialPhraseBank
"only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to durham .",Sadness,FinancialPhraseBank
price talk is in the euribor plus 2 bps area and the sole lead is citigroup .,Neutral,FinancialPhraseBank
the handset maker did not disclose any financial details .,Neutral,FinancialPhraseBank
cash flow from operations in january-december 2008 was a negative eur 18.1 mn compared to eur 39.0 mn in the corresponding period in 2007 .,Sadness,FinancialPhraseBank
15 december 2010 - finnish-german telecoms equipment maker nokia siemens networks said today it won a contract to upgrade the radio network of home-based telecommunications company elisa oyj hel eli1v .,Joy,FinancialPhraseBank
"russian media ventures ' minority shareholder peter hervy denied the plans to sell ova press , the daily said .",Neutral,FinancialPhraseBank
valmet automotive reports net sales of eur 85mn and operating profit of eur 8mn .,Neutral,FinancialPhraseBank
"in the second quarter of 2010 , the company 's net profit was eur1 .7 m compared to a net loss of eur1 .3 m in april-june 2009 .",Optimism,FinancialPhraseBank
gypsii service supports ten different languages including korean and russian .,Neutral,FinancialPhraseBank
"helsinki afx - metso said it will upgrade one of upm-kymmene 's four paper machines at the latter 's mill in jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",Optimism,FinancialPhraseBank
"russian export duties will activate harvesting in finland , and sales in russia will increase also .",Optimism,FinancialPhraseBank
the department store division 's sales fell by 8.6 to eur 140.2 mn .,Sadness,FinancialPhraseBank
"vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said olli teva , marketing director renewable energy applications .",Neutral,FinancialPhraseBank
ge is building the facility with wind power developer invenergy wind llc .,Neutral,FinancialPhraseBank
"also finnish industry investment , a government-owned investment company , will participate in the project .",Neutral,FinancialPhraseBank
"the rme from telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",Neutral,FinancialPhraseBank
"once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",Neutral,FinancialPhraseBank
"finnish electronics contract manufacturer scanfil reports net sales of eur 241.2 mn in 2006 , down from eur 321.6 mn in 2005 .",Sadness,FinancialPhraseBank
"when the product is manufactured in finland , it is also packed in the country .",Neutral,FinancialPhraseBank
"on 20 march 2006 , stora enso refused to comment the news in any way .",Neutral,FinancialPhraseBank
"during the strike , finnair estimates to incur a net loss of between eur2m and eur2 .5 m per day .",Sadness,FinancialPhraseBank
"the largest restructuring is planned for italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",Sadness,FinancialPhraseBank
diluted eps rose to eur3 .68 from eur0 .50 .,Optimism,FinancialPhraseBank
"cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",Neutral,FinancialPhraseBank
"crucially , the decision to use etsi european telecommunication standard institute - backed dvb-h adds to the growing list of operators and equipment manufacturers opting for the standard see global 20 january 2006 competing technologies vie for mobile tv .",Neutral,FinancialPhraseBank
"vaisala also said it expects net sales of eur 253.2 million for 2010 , compared with eur 252.2 million recorded in 2009 .",Optimism,FinancialPhraseBank
the operating profit for grain trading increased to eur 2.0 mn from eur 1.4 mn in 2005 .,Optimism,FinancialPhraseBank
"under the changes envisaged , hk ruokatalo would reduce its number of industrial places of business in finland from eight to six .",Neutral,FinancialPhraseBank
